overall,verified,reviewTime,reviewerID,asin,reviewerName,summary,unixReviewTime,vote
5,TRUE,6/17/2018,A31UBHTUUIFJUT,B004LLIKVU,john stoiber,Five Stars,1529193600,0
4,TRUE,6/14/2018,A2MN5JQMIY0FQ2,B004LLIKVU,Amazon Customer,Ease of use,1528934400,0
5,TRUE,6/2/2018,A25POI5IGGENPM,B004LLIKVU,Kindle Customer,Five Stars,1527897600,0
5,TRUE,5/19/2018,A2HYGTHB4LJ9FW,B004LLIKVU,Amante dei Gatti,Love the convenience of eCards,1526688000,0
5,TRUE,5/18/2018,ACDG3M94UMZGJ,B004LLIKVU,Joan Freesh,Five Stars,1526601600,0
5,TRUE,5/8/2018,ABWSFKJ1MRN1Q,B004LLIKVU,Barb Peterson,Five Stars,1525737600,0
5,TRUE,5/1/2018,A34JP8QRZRS7W5,B004LLIKVU,dood,great,1525132800,0
5,TRUE,4/27/2018,A2JCUY769II5B5,B004LLIKVU,Stephanie K,Five Stars,1524787200,0
4,TRUE,4/12/2018,A1MAKKM3E4PFE2,B004LLIKVU,NPR MAN,I texted this gift card to my Granddaughter| works like a charm| they get the card instantly!,1523491200,0
5,TRUE,4/12/2018,A35NK1PEDWMV0I,B004LLIKVU,Traveler,Five Stars,1523491200,0
5,TRUE,3/23/2018,AZ5C65G10R6W6,B004LLIKVU,Djuli,Convenient,1521763200,0
5,TRUE,2/8/2018,A2EMTLQJQS9PQJ,B004LLIKVU,Irene P Couchman,Five Stars,1518048000,0
5,TRUE,5/29/2018,A3CRNB557EW50L,B004Q7CK9M,KCWANGSVICK,Reason for the Season,1527552000,0
4,TRUE,4/14/2018,A3R3UC3SWC7RIL,B004Q7CK9M,KC,Four Stars,1523664000,0
5,TRUE,3/18/2018,AEGP5NUG8YFS0,B004Q7CK9M,Wanda K.,Five Stars,1521331200,0
5,TRUE,3/18/2018,A3BNRL2SCE6CGU,B004Q7CK9M,karl zahler,Five Stars,1521331200,0
5,TRUE,3/12/2018,A1FKMXROBDOI7W,B004Q7CK9M,D.M.,Five Stars,1520812800,0
4,TRUE,3/5/2018,A3NNNJAQ22RN10,B004Q7CK9M,Joyce Martin,Four Stars,1520208000,0
5,TRUE,3/2/2018,AEDHVVRO3Y938,B004Q7CK9M,darlene r,Five Stars,1519948800,0
5,TRUE,3/1/2018,A28YGUP7ZFI6PP,B004Q7CK9M,Cath,Arrives fast,1519862400,0
5,TRUE,2/8/2018,A3VZ1JUAW5IYR8,B004Q7CK9M,BETTY,The greeting card along with the gift card made it more special,1518048000,0
5,TRUE,2/6/2018,A73IL07XP97YM,B004Q7CK9M,jgar529,Five Stars,1517875200,0
5,TRUE,1/30/2018,AHBLLZMAXGB2U,B004Q7CK9M,Billcar 43,Five Stars,1517270400,0
5,TRUE,1/28/2018,A2Z43ZQDGCFCBD,B004Q7CK9M,Jesse Ward,Came on time.,1517097600,0
5,TRUE,1/15/2018,A270HKP30FYUX6,B004Q7CK9M,SueSarahMookie,Five Stars,1515974400,0
5,TRUE,1/8/2018,A4OJWUX1MKR3B,B004Q7CK9M,Kathy,Five Stars,1515369600,0
5,TRUE,12/27/2017,A1LCT6F9JL6P7C,B004Q7CK9M,mike murphy,Five Stars,1514332800,0
5,TRUE,12/19/2017,A17WJKTK88DY0C,B004Q7CK9M,Dee,Five Stars,1513641600,0
5,TRUE,12/13/2017,A1C1YNIRA6OSMQ,B004Q7CK9M,Sis,Five Stars,1513123200,0
2,TRUE,11/16/2017,A35ZJY01RQSY5O,B004Q7CK9M,Backpacker,OK looking card,1510790400,0
5,TRUE,9/5/2017,A123IIX1Z50O9U,B004Q7CK9M,Abburu Sharma,Five Stars,1504569600,0
5,TRUE,7/22/2017,A36ABUVB4X9Q1C,B004Q7CK9M,DFC,Five Stars,1500681600,0
5,TRUE,6/27/2017,A1L7ZNJ417R9KR,B004Q7CK9M,bajababe,Always a great gift!,1498521600,0
5,TRUE,6/27/2017,A2DIIBPEA3CTXL,B004Q7CK9M,Sallye Jefferson,easy to print,1498521600,0
5,TRUE,5/12/2017,A1YXA1KL03KML,B004Q7CK9M,ff13texas,Gift,1494547200,0
5,TRUE,3/10/2017,A28MI0OGL4S2BB,B004Q7CK9M,clark,Amazon Prime members love Gift cards!,1489104000,0
5,TRUE,3/4/2017,A5U1KZ3EIK0IG,B004Q7CK9M,Branson Mom,Can never go wrong,1488585600,0
5,TRUE,2/21/2017,A2VIPI69EC0N1F,B004Q7CK9M,Steven,Five Stars,1487635200,0
5,TRUE,1/30/2017,A2ULIBNQS93NYQ,B004Q7CK9M,Leandra P. Cooke,Five Stars,1485734400,0
5,TRUE,1/18/2017,ARZLW6MFV58E9,B004Q7CK9M,Denise Andrews,Terrific,1484697600,0
