overall,verified,reviewTime,reviewerID,asin,reviewerName,summary,unixReviewTime,vote
5,TRUE,1/5/2018,A2HOI48JK8838M,B00004U9V2,DB,Beautiful Fragrance,1515110400,0
5,TRUE,4/5/2017,A1YIPEY7HX73S7,B00004U9V2,Ajaey,wonderful hand lotion,1491350400,0
5,TRUE,3/27/2017,A2QCGHIJ2TCLVP,B00004U9V2,D. Jones,Best hand cream around,1490572800,0
5,TRUE,3/20/2017,A2R4UNHFJBA6PY,B00004U9V2,Amazon Customer,Five Stars,1489968000,0
5,TRUE,2/28/2017,A2QCGHIJ2TCLVP,B00004U9V2,D. Jones,Great hand lotion,1488240000,0
5,TRUE,2/25/2017,A1606LA683WZZU,B00004U9V2,Amr,Five Stars,1487980800,0
5,TRUE,1/30/2017,A1606LA683WZZU,B00004U9V2,Amr,Five Stars,1485734400,0
4,FALSE,1/24/2017,A1YY53NQXFKMRN,B00004U9V2,Trixie,Smells good/ absorbs quickly,1485216000,0
5,TRUE,12/1/2016,A3R0NQ9E53JHYQ,B00004U9V2,T. Hooth,Five Stars,1480550400,0
5,TRUE,12/1/2016,A3R0NQ9E53JHYQ,B00004U9V2,T. Hooth,BEST hand cream ever,1480550400,0
5,TRUE,10/12/2016,A2QCGHIJ2TCLVP,B00004U9V2,D. Jones,Great stuff,1476230400,0
5,TRUE,9/11/2016,A35YXEDATMIJ9S,B00004U9V2,asma,Five Stars,1473552000,0
3,TRUE,8/14/2016,A2HOI48JK8838M,B00004U9V2,DB,Paying for the name,1471132800,0
5,FALSE,3/20/2016,A3CRJ1Q73RB25F,B00004U9V2,Annie T,Great scent,1458432000,0
5,TRUE,2/13/2016,A1Y39RECFXEGNL,B00004U9V2,Art,The Best Hand Cream Ever,1455321600,0
5,TRUE,1/19/2016,A3O0BXK3SZ6FE0,B00004U9V2,Newman,Favorite hand cream,1453161600,0
5,TRUE,1/11/2016,AWVF9EWW3BXYV,B00004U9V2,A_V,This hand cream is addicting and the scent is pleasant ...,1452470400,2
5,TRUE,11/23/2015,AWVF9EWW3BXYV,B00004U9V2,A_V,Five Stars,1448236800,0
4,TRUE,7/6/2014,A1Y39RECFXEGNL,B00004U9V2,Art,The best hand cream ever.,1404604800,0
3,TRUE,6/13/2014,ACUGBCEADYT6D,B00004U9V2,Booklass,I like the moisturizing properties/ but the smell is a little overwhelming to me,1402617600,0
5,TRUE,5/5/2014,A3O0BXK3SZ6FE0,B00004U9V2,Newman,A favorite,1399248000,0
5,FALSE,12/31/2012,A3S3R88HA0HZG3,B00004U9V2,PT Cruiser,An effective hand cream with a wonderful scent,1356912000,0
5,TRUE,1/24/2017,A16VM71BLBCMMK,B00005V50B,TickTockAlice,This WORKS And its gentle,1485216000,0
3,TRUE,11/6/2014,A1RRX286ZRI830,B00005V50B,Patrycja,I liked it but not sure it made that much of ...,1415232000,0
5,TRUE,4/21/2014,A2CAF6DVZOHMHG,B00005V50B,Marlene,Excellent Product,1398038400,0
3,FALSE,2/1/2014,A1M1Y5UGONAW06,B00005V50B,Jody,Expensive and just OK toothpaste,1391212800,0
5,TRUE,9/12/2013,AHLTB5YPI6JX1,B00005V50B,Dame de Drama,white teeth,1378944000,0
5,TRUE,2/13/2013,A3LSOG7F3ZCJ65,B00005V50B,glam girl,Mega watt smile,1360713600,0
5,FALSE,1/9/2012,A2NUBL2UYWPBWR,B00005V50B,C,Best natural white you can get without chemicals.,1326067200,36
5,TRUE,2/13/2018,A2AVMDTFW79N2N,B000068DWY,Michael R,Five Stars,1518480000,0
4,TRUE,1/9/2018,A2KJIX9GXBCVWH,B000068DWY,Rohini Atresh,One of my favorite perfumes and the fact that it is unisex is ...,1515456000,0
5,TRUE,12/30/2017,A15R5T6T1TBSJX,B000068DWY,Amazon Customer,Sexy smell,1514592000,0
5,TRUE,11/26/2017,A3TX3N3YORDUBY,B000068DWY,MRM,Five Stars,1511654400,2
5,TRUE,7/14/2017,A3045PONRA3KZ2,B000068DWY,Anthony Santiago,Five Stars,1499990400,0
