asin,title,description,price,brand,rank,main_cat,sub-category,product_image
B00004U9V2,Crabtree amp Evelyn - Gardeners Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ,,30,,4324,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41ClX6BRvZL.jpg
B00005A77F,Crabtree amp Evelyn Hand Soap| Gardeners| 10.1 fl. oz.,,15.99,,,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31BBeRbXZsL.jpg
B00005NDTD,Soy Milk Hand Crme,,18,,42464,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31agMAVCHtL.jpg
B00005V50C,Supersmile Powdered Mouthrinse,,21.73,,122723,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51dHovEt6DL.jpg
B00005V50B,Supersmile Professional Teeth Whitening Toothpaste  Recommended By Cosmetic Dentists| CLINICALLY...,,23,,5522,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/4168KuM1smL.jpg
B000066SYB,Archipelago Morning Mint Body Lotion |18 Fl Oz,,25,,20146,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31IAUYQ78gL.jpg
B000068DWY,Calvin Klein ck one Eau de Toilette| 3.4 fl. oz.,,64,,30752,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31wRIKzVrqL.jpg
B00008WFSM,Helen of Troy 1193 Professional Flat Iron,,39.99,,63508,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/317t23ct%2BnL.jpg
B0000Y3NO6,DERMAdoctor Calm| Cool amp Corrected anti-redness tranquility cream - 1.7 Oz,,85,,186829,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41sTOlcsmjL.jpg
B00011QUKW,HOT TOOLS Professional 24K Gold Marcel Iron/Wand for Long Lasting Results,,49.99,,11899,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31RHBJWOwiL.jpg
B000141PYK,Paul Mitchell Extra-Body Sculpting Gel,,11,,19407,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31yPG0NXNpL.jpg
B000141PIG,Paul Mitchell Shampoo One,,13,,42512,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31zUd8URzCL.jpg
B000142FVW,OPI Nail Lacquer| Not So Bora-Bora-ing Pink| 0.5 Fl Oz,,8.4,,26115,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/411yIVNFsWL.jpg
B00014351Q,OPI Nail Lacquer| Shes a Bad Muffuletta!| 0.5 Fl Oz,,8.4,,65229,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31YuH8%2BNAtL.jpg
